,Predicted,Actual
80,94.70741290168598,81
39,58.99135550054953,40
98,86.69105860617276,99
67,69.04002496957318,68
59,66.78189699900608,60
138,124.21361838376293,139
26,42.77046957864246,27
154,119.20810138233918,155
90,81.79844800327737,91
22,30.350765740523343,23
69,63.58288237403599,70
35,53.34603557413175,36
170,180.47864031706013,171
52,64.90012369020013,53
72,61.55056720052559,73
109,94.63214196933376,110
25,45.25441034626627,26
143,126.81046554991508,144
147,131.51489882192993,148
136,108.82071271773043,137
53,59.17953283143012,54
6,25.947416197917477,7
95,73.2928326474746,96
36,67.15825166076726,37
31,59.40534562848683,32
87,79.2768717694774,88
167,190.0756841919703,168
107,111.49283081623486,108
127,112.58425933534232,128
17,37.877858975747046,18
151,90.906230817898,152
119,87.3684969973429,120
114,96.70209260902027,115
142,132.56869187486126,143
86,73.70682277541187,87
